 주택용(저압) 사용량별 요금표 ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
 [ 기타계절(7~8월 제외) ] ,,,,,,,," *기후환경요금단가는 매년, 연료비조정단가는 매분기 변동됨 ",,, [ 하계(7~8월) ] ,,,,,,,," *기후환경요금단가는 매년, 연료비조정단가는 매분기 변동됨 "
" 사용량
(kWh) ", 기본요금 , 전력량요금 ," 기후환경요금
(2023.1.1기준) "," 연료비조정요금
(2023.1.1기준) ", 전기요금계 , 부가세 , 기반기금 , 청구금액 ,,," 사용량
(kWh) ", 기본요금 , 전력량요금 ," 기후환경요금
(2023.1.1기준) "," 연료비조정요금
(2023.1.1기준) ", 전기요금계 , 부가세 , 기반기금 , 청구금액 
530,"  7,300 ","  102,629 ","  4,770 ","  2,650 ","  117,349 ","  11,735 ","  4,340 ","  133,420 ",,,530,"  7,300 ","  88,534 ","  4,770 ","  2,650 ","  103,254 ","  10,325 ","  3,820 ","  117,390 "
531,"  7,300 ","  102,928 ","  4,779 ","  2,655 ","  117,662 ","  11,766 ","  4,350 ","  133,770 ",,,531,"  7,300 ","  88,833 ","  4,779 ","  2,655 ","  103,567 ","  10,357 ","  3,830 ","  117,750 "
532,"  7,300 ","  103,227 ","  4,788 ","  2,660 ","  117,975 ","  11,798 ","  4,360 ","  134,130 ",,,532,"  7,300 ","  89,132 ","  4,788 ","  2,660 ","  103,880 ","  10,388 ","  3,840 ","  118,100 "
533,"  7,300 ","  103,526 ","  4,797 ","  2,665 ","  118,288 ","  11,829 ","  4,370 ","  134,480 ",,,533,"  7,300 ","  89,431 ","  4,797 ","  2,665 ","  104,193 ","  10,419 ","  3,850 ","  118,460 "
534,"  7,300 ","  103,826 ","  4,806 ","  2,670 ","  118,602 ","  11,860 ","  4,380 ","  134,840 ",,,534,"  7,300 ","  89,731 ","  4,806 ","  2,670 ","  104,507 ","  10,451 ","  3,860 ","  118,810 "
535,"  7,300 ","  104,125 ","  4,815 ","  2,675 ","  118,915 ","  11,892 ","  4,390 ","  135,190 ",,,535,"  7,300 ","  90,030 ","  4,815 ","  2,675 ","  104,820 ","  10,482 ","  3,870 ","  119,170 "
536,"  7,300 ","  104,424 ","  4,824 ","  2,680 ","  119,228 ","  11,923 ","  4,410 ","  135,560 ",,,536,"  7,300 ","  90,329 ","  4,824 ","  2,680 ","  105,133 ","  10,513 ","  3,880 ","  119,520 "
537,"  7,300 ","  104,724 ","  4,833 ","  2,685 ","  119,542 ","  11,954 ","  4,420 ","  135,910 ",,,537,"  7,300 ","  90,629 ","  4,833 ","  2,685 ","  105,447 ","  10,545 ","  3,900 ","  119,890 "
538,"  7,300 ","  105,023 ","  4,842 ","  2,690 ","  119,855 ","  11,986 ","  4,430 ","  136,270 ",,,538,"  7,300 ","  90,928 ","  4,842 ","  2,690 ","  105,760 ","  10,576 ","  3,910 ","  120,240 "
539,"  7,300 ","  105,322 ","  4,851 ","  2,695 ","  120,168 ","  12,017 ","  4,440 ","  136,620 ",,,539,"  7,300 ","  91,227 ","  4,851 ","  2,695 ","  106,073 ","  10,607 ","  3,920 ","  120,600 "
540,"  7,300 ","  105,622 ","  4,860 ","  2,700 ","  120,482 ","  12,048 ","  4,450 ","  136,980 ",,,540,"  7,300 ","  91,527 ","  4,860 ","  2,700 ","  106,387 ","  10,639 ","  3,930 ","  120,950 "
541,"  7,300 ","  105,921 ","  4,869 ","  2,705 ","  120,795 ","  12,080 ","  4,460 ","  137,330 ",,,541,"  7,300 ","  91,826 ","  4,869 ","  2,705 ","  106,700 ","  10,670 ","  3,940 ","  121,310 "
542,"  7,300 ","  106,220 ","  4,878 ","  2,710 ","  121,108 ","  12,111 ","  4,480 ","  137,690 ",,,542,"  7,300 ","  92,125 ","  4,878 ","  2,710 ","  107,013 ","  10,701 ","  3,950 ","  121,660 "
543,"  7,300 ","  106,519 ","  4,887 ","  2,715 ","  121,421 ","  12,142 ","  4,490 ","  138,050 ",,,543,"  7,300 ","  92,424 ","  4,887 ","  2,715 ","  107,326 ","  10,733 ","  3,970 ","  122,020 "
544,"  7,300 ","  106,819 ","  4,896 ","  2,720 ","  121,735 ","  12,174 ","  4,500 ","  138,400 ",,,544,"  7,300 ","  92,724 ","  4,896 ","  2,720 ","  107,640 ","  10,764 ","  3,980 ","  122,380 "
545,"  7,300 ","  107,118 ","  4,905 ","  2,725 ","  122,048 ","  12,205 ","  4,510 ","  138,760 ",,,545,"  7,300 ","  93,023 ","  4,905 ","  2,725 ","  107,953 ","  10,795 ","  3,990 ","  122,730 "
546,"  7,300 ","  107,417 ","  4,914 ","  2,730 ","  122,361 ","  12,236 ","  4,520 ","  139,110 ",,,546,"  7,300 ","  93,322 ","  4,914 ","  2,730 ","  108,266 ","  10,827 ","  4,000 ","  123,090 "
547,"  7,300 ","  107,717 ","  4,923 ","  2,735 ","  122,675 ","  12,268 ","  4,530 ","  139,470 ",,,547,"  7,300 ","  93,622 ","  4,923 ","  2,735 ","  108,580 ","  10,858 ","  4,010 ","  123,440 "
548,"  7,300 ","  108,016 ","  4,932 ","  2,740 ","  122,988 ","  12,299 ","  4,550 ","  139,830 ",,,548,"  7,300 ","  93,921 ","  4,932 ","  2,740 ","  108,893 ","  10,889 ","  4,020 ","  123,800 "
549,"  7,300 ","  108,315 ","  4,941 ","  2,745 ","  123,301 ","  12,330 ","  4,560 ","  140,190 ",,,549,"  7,300 ","  94,220 ","  4,941 ","  2,745 ","  109,206 ","  10,921 ","  4,040 ","  124,160 "
550,"  7,300 ","  108,615 ","  4,950 ","  2,750 ","  123,615 ","  12,362 ","  4,570 ","  140,540 ",,,550,"  7,300 ","  94,520 ","  4,950 ","  2,750 ","  109,520 ","  10,952 ","  4,050 ","  124,520 "
551,"  7,300 ","  108,914 ","  4,959 ","  2,755 ","  123,928 ","  12,393 ","  4,580 ","  140,900 ",,,551,"  7,300 ","  94,819 ","  4,959 ","  2,755 ","  109,833 ","  10,983 ","  4,060 ","  124,870 "
552,"  7,300 ","  109,213 ","  4,968 ","  2,760 ","  124,241 ","  12,424 ","  4,590 ","  141,250 ",,,552,"  7,300 ","  95,118 ","  4,968 ","  2,760 ","  110,146 ","  11,015 ","  4,070 ","  125,230 "
553,"  7,300 ","  109,512 ","  4,977 ","  2,765 ","  124,554 ","  12,455 ","  4,600 ","  141,600 ",,,553,"  7,300 ","  95,417 ","  4,977 ","  2,765 ","  110,459 ","  11,046 ","  4,080 ","  125,580 "
554,"  7,300 ","  109,812 ","  4,986 ","  2,770 ","  124,868 ","  12,487 ","  4,620 ","  141,970 ",,,554,"  7,300 ","  95,717 ","  4,986 ","  2,770 ","  110,773 ","  11,077 ","  4,090 ","  125,940 "
555,"  7,300 ","  110,111 ","  4,995 ","  2,775 ","  125,181 ","  12,518 ","  4,630 ","  142,320 ",,,555,"  7,300 ","  96,016 ","  4,995 ","  2,775 ","  111,086 ","  11,109 ","  4,110 ","  126,300 "
556,"  7,300 ","  110,410 ","  5,004 ","  2,780 ","  125,494 ","  12,549 ","  4,640 ","  142,680 ",,,556,"  7,300 ","  96,315 ","  5,004 ","  2,780 ","  111,399 ","  11,140 ","  4,120 ","  126,650 "
557,"  7,300 ","  110,710 ","  5,013 ","  2,785 ","  125,808 ","  12,581 ","  4,650 ","  143,030 ",,,557,"  7,300 ","  96,615 ","  5,013 ","  2,785 ","  111,713 ","  11,171 ","  4,130 ","  127,010 "
558,"  7,300 ","  111,009 ","  5,022 ","  2,790 ","  126,121 ","  12,612 ","  4,660 ","  143,390 ",,,558,"  7,300 ","  96,914 ","  5,022 ","  2,790 ","  112,026 ","  11,203 ","  4,140 ","  127,360 "
559,"  7,300 ","  111,308 ","  5,031 ","  2,795 ","  126,434 ","  12,643 ","  4,670 ","  143,740 ",,,559,"  7,300 ","  97,213 ","  5,031 ","  2,795 ","  112,339 ","  11,234 ","  4,150 ","  127,720 "
560,"  7,300 ","  111,608 ","  5,040 ","  2,800 ","  126,748 ","  12,675 ","  4,680 ","  144,100 ",,,560,"  7,300 ","  97,513 ","  5,040 ","  2,800 ","  112,653 ","  11,265 ","  4,160 ","  128,070 "
561,"  7,300 ","  111,907 ","  5,049 ","  2,805 ","  127,061 ","  12,706 ","  4,700 ","  144,460 ",,,561,"  7,300 ","  97,812 ","  5,049 ","  2,805 ","  112,966 ","  11,297 ","  4,170 ","  128,430 "
562,"  7,300 ","  112,206 ","  5,058 ","  2,810 ","  127,374 ","  12,737 ","  4,710 ","  144,820 ",,,562,"  7,300 ","  98,111 ","  5,058 ","  2,810 ","  113,279 ","  11,328 ","  4,190 ","  128,790 "
563,"  7,300 ","  112,505 ","  5,067 ","  2,815 ","  127,687 ","  12,769 ","  4,720 ","  145,170 ",,,563,"  7,300 ","  98,410 ","  5,067 ","  2,815 ","  113,592 ","  11,359 ","  4,200 ","  129,150 "
564,"  7,300 ","  112,805 ","  5,076 ","  2,820 ","  128,001 ","  12,800 ","  4,730 ","  145,530 ",,,564,"  7,300 ","  98,710 ","  5,076 ","  2,820 ","  113,906 ","  11,391 ","  4,210 ","  129,500 "
565,"  7,300 ","  113,104 ","  5,085 ","  2,825 ","  128,314 ","  12,831 ","  4,740 ","  145,880 ",,,565,"  7,300 ","  99,009 ","  5,085 ","  2,825 ","  114,219 ","  11,422 ","  4,220 ","  129,860 "
566,"  7,300 ","  113,403 ","  5,094 ","  2,830 ","  128,627 ","  12,863 ","  4,750 ","  146,240 ",,,566,"  7,300 ","  99,308 ","  5,094 ","  2,830 ","  114,532 ","  11,453 ","  4,230 ","  130,210 "
567,"  7,300 ","  113,703 ","  5,103 ","  2,835 ","  128,941 ","  12,894 ","  4,770 ","  146,600 ",,,567,"  7,300 ","  99,608 ","  5,103 ","  2,835 ","  114,846 ","  11,485 ","  4,240 ","  130,570 "
568,"  7,300 ","  114,002 ","  5,112 ","  2,840 ","  129,254 ","  12,925 ","  4,780 ","  146,950 ",,,568,"  7,300 ","  99,907 ","  5,112 ","  2,840 ","  115,159 ","  11,516 ","  4,260 ","  130,930 "
569,"  7,300 ","  114,301 ","  5,121 ","  2,845 ","  129,567 ","  12,957 ","  4,790 ","  147,310 ",,,569,"  7,300 ","  100,206 ","  5,121 ","  2,845 ","  115,472 ","  11,547 ","  4,270 ","  131,280 "
570,"  7,300 ","  114,601 ","  5,130 ","  2,850 ","  129,881 ","  12,988 ","  4,800 ","  147,660 ",,,570,"  7,300 ","  100,506 ","  5,130 ","  2,850 ","  115,786 ","  11,579 ","  4,280 ","  131,640 "
571,"  7,300 ","  114,900 ","  5,139 ","  2,855 ","  130,194 ","  13,019 ","  4,810 ","  148,020 ",,,571,"  7,300 ","  100,805 ","  5,139 ","  2,855 ","  116,099 ","  11,610 ","  4,290 ","  131,990 "
572,"  7,300 ","  115,199 ","  5,148 ","  2,860 ","  130,507 ","  13,051 ","  4,820 ","  148,370 ",,,572,"  7,300 ","  101,104 ","  5,148 ","  2,860 ","  116,412 ","  11,641 ","  4,300 ","  132,350 "
573,"  7,300 ","  115,498 ","  5,157 ","  2,865 ","  130,820 ","  13,082 ","  4,840 ","  148,740 ",,,573,"  7,300 ","  101,403 ","  5,157 ","  2,865 ","  116,725 ","  11,673 ","  4,310 ","  132,700 "
574,"  7,300 ","  115,798 ","  5,166 ","  2,870 ","  131,134 ","  13,113 ","  4,850 ","  149,090 ",,,574,"  7,300 ","  101,703 ","  5,166 ","  2,870 ","  117,039 ","  11,704 ","  4,330 ","  133,070 "
575,"  7,300 ","  116,097 ","  5,175 ","  2,875 ","  131,447 ","  13,145 ","  4,860 ","  149,450 ",,,575,"  7,300 ","  102,002 ","  5,175 ","  2,875 ","  117,352 ","  11,735 ","  4,340 ","  133,420 "
576,"  7,300 ","  116,396 ","  5,184 ","  2,880 ","  131,760 ","  13,176 ","  4,870 ","  149,800 ",,,576,"  7,300 ","  102,301 ","  5,184 ","  2,880 ","  117,665 ","  11,767 ","  4,350 ","  133,780 "
577,"  7,300 ","  116,696 ","  5,193 ","  2,885 ","  132,074 ","  13,207 ","  4,880 ","  150,160 ",,,577,"  7,300 ","  102,601 ","  5,193 ","  2,885 ","  117,979 ","  11,798 ","  4,360 ","  134,130 "
578,"  7,300 ","  116,995 ","  5,202 ","  2,890 ","  132,387 ","  13,239 ","  4,890 ","  150,510 ",,,578,"  7,300 ","  102,900 ","  5,202 ","  2,890 ","  118,292 ","  11,829 ","  4,370 ","  134,490 "
579,"  7,300 ","  117,294 ","  5,211 ","  2,895 ","  132,700 ","  13,270 ","  4,900 ","  150,870 ",,,579,"  7,300 ","  103,199 ","  5,211 ","  2,895 ","  118,605 ","  11,861 ","  4,380 ","  134,840 "
580,"  7,300 ","  117,594 ","  5,220 ","  2,900 ","  133,014 ","  13,301 ","  4,920 ","  151,230 ",,,580,"  7,300 ","  103,499 ","  5,220 ","  2,900 ","  118,919 ","  11,892 ","  4,400 ","  135,210 "
581,"  7,300 ","  117,893 ","  5,229 ","  2,905 ","  133,327 ","  13,333 ","  4,930 ","  151,590 ",,,581,"  7,300 ","  103,798 ","  5,229 ","  2,905 ","  119,232 ","  11,923 ","  4,410 ","  135,560 "
582,"  7,300 ","  118,192 ","  5,238 ","  2,910 ","  133,640 ","  13,364 ","  4,940 ","  151,940 ",,,582,"  7,300 ","  104,097 ","  5,238 ","  2,910 ","  119,545 ","  11,955 ","  4,420 ","  135,920 "
583,"  7,300 ","  118,491 ","  5,247 ","  2,915 ","  133,953 ","  13,395 ","  4,950 ","  152,290 ",,,583,"  7,300 ","  104,396 ","  5,247 ","  2,915 ","  119,858 ","  11,986 ","  4,430 ","  136,270 "
584,"  7,300 ","  118,791 ","  5,256 ","  2,920 ","  134,267 ","  13,427 ","  4,960 ","  152,650 ",,,584,"  7,300 ","  104,696 ","  5,256 ","  2,920 ","  120,172 ","  12,017 ","  4,440 ","  136,620 "
585,"  7,300 ","  119,090 ","  5,265 ","  2,925 ","  134,580 ","  13,458 ","  4,970 ","  153,000 ",,,585,"  7,300 ","  104,995 ","  5,265 ","  2,925 ","  120,485 ","  12,049 ","  4,450 ","  136,980 "
586,"  7,300 ","  119,389 ","  5,274 ","  2,930 ","  134,893 ","  13,489 ","  4,990 ","  153,370 ",,,586,"  7,300 ","  105,294 ","  5,274 ","  2,930 ","  120,798 ","  12,080 ","  4,460 ","  137,330 "
587,"  7,300 ","  119,689 ","  5,283 ","  2,935 ","  135,207 ","  13,521 ","  5,000 ","  153,720 ",,,587,"  7,300 ","  105,594 ","  5,283 ","  2,935 ","  121,112 ","  12,111 ","  4,480 ","  137,700 "
588,"  7,300 ","  119,988 ","  5,292 ","  2,940 ","  135,520 ","  13,552 ","  5,010 ","  154,080 ",,,588,"  7,300 ","  105,893 ","  5,292 ","  2,940 ","  121,425 ","  12,143 ","  4,490 ","  138,050 "
589,"  7,300 ","  120,287 ","  5,301 ","  2,945 ","  135,833 ","  13,583 ","  5,020 ","  154,430 ",,,589,"  7,300 ","  106,192 ","  5,301 ","  2,945 ","  121,738 ","  12,174 ","  4,500 ","  138,410 "
590,"  7,300 ","  120,587 ","  5,310 ","  2,950 ","  136,147 ","  13,615 ","  5,030 ","  154,790 ",,,590,"  7,300 ","  106,492 ","  5,310 ","  2,950 ","  122,052 ","  12,205 ","  4,510 ","  138,760 "
591,"  7,300 ","  120,886 ","  5,319 ","  2,955 ","  136,460 ","  13,646 ","  5,040 ","  155,140 ",,,591,"  7,300 ","  106,791 ","  5,319 ","  2,955 ","  122,365 ","  12,237 ","  4,520 ","  139,120 "
592,"  7,300 ","  121,185 ","  5,328 ","  2,960 ","  136,773 ","  13,677 ","  5,060 ","  155,510 ",,,592,"  7,300 ","  107,090 ","  5,328 ","  2,960 ","  122,678 ","  12,268 ","  4,530 ","  139,470 "
593,"  7,300 ","  121,484 ","  5,337 ","  2,965 ","  137,086 ","  13,709 ","  5,070 ","  155,860 ",,,593,"  7,300 ","  107,389 ","  5,337 ","  2,965 ","  122,991 ","  12,299 ","  4,550 ","  139,840 "
594,"  7,300 ","  121,784 ","  5,346 ","  2,970 ","  137,400 ","  13,740 ","  5,080 ","  156,220 ",,,594,"  7,300 ","  107,689 ","  5,346 ","  2,970 ","  123,305 ","  12,331 ","  4,560 ","  140,190 "
595,"  7,300 ","  122,083 ","  5,355 ","  2,975 ","  137,713 ","  13,771 ","  5,090 ","  156,570 ",,,595,"  7,300 ","  107,988 ","  5,355 ","  2,975 ","  123,618 ","  12,362 ","  4,570 ","  140,550 "
596,"  7,300 ","  122,382 ","  5,364 ","  2,980 ","  138,026 ","  13,803 ","  5,100 ","  156,920 ",,,596,"  7,300 ","  108,287 ","  5,364 ","  2,980 ","  123,931 ","  12,393 ","  4,580 ","  140,900 "
597,"  7,300 ","  122,682 ","  5,373 ","  2,985 ","  138,340 ","  13,834 ","  5,110 ","  157,280 ",,,597,"  7,300 ","  108,587 ","  5,373 ","  2,985 ","  124,245 ","  12,425 ","  4,590 ","  141,260 "
598,"  7,300 ","  122,981 ","  5,382 ","  2,990 ","  138,653 ","  13,865 ","  5,130 ","  157,640 ",,,598,"  7,300 ","  108,886 ","  5,382 ","  2,990 ","  124,558 ","  12,456 ","  4,600 ","  141,610 "
599,"  7,300 ","  123,280 ","  5,391 ","  2,995 ","  138,966 ","  13,897 ","  5,140 ","  158,000 ",,,599,"  7,300 ","  109,185 ","  5,391 ","  2,995 ","  124,871 ","  12,487 ","  4,620 ","  141,970 "
600,"  7,300 ","  123,580 ","  5,400 ","  3,000 ","  139,280 ","  13,928 ","  5,150 ","  158,350 ",,,600,"  7,300 ","  109,485 ","  5,400 ","  3,000 ","  125,185 ","  12,519 ","  4,630 ","  142,330 "
601,"  7,300 ","  123,879 ","  5,409 ","  3,005 ","  139,593 ","  13,959 ","  5,160 ","  158,710 ",,,601,"  7,300 ","  109,784 ","  5,409 ","  3,005 ","  125,498 ","  12,550 ","  4,640 ","  142,680 "
602,"  7,300 ","  124,178 ","  5,418 ","  3,010 ","  139,906 ","  13,991 ","  5,170 ","  159,060 ",,,602,"  7,300 ","  110,083 ","  5,418 ","  3,010 ","  125,811 ","  12,581 ","  4,650 ","  143,040 "
603,"  7,300 ","  124,477 ","  5,427 ","  3,015 ","  140,219 ","  14,022 ","  5,180 ","  159,420 ",,,603,"  7,300 ","  110,382 ","  5,427 ","  3,015 ","  126,124 ","  12,612 ","  4,660 ","  143,390 "
604,"  7,300 ","  124,777 ","  5,436 ","  3,020 ","  140,533 ","  14,053 ","  5,190 ","  159,770 ",,,604,"  7,300 ","  110,682 ","  5,436 ","  3,020 ","  126,438 ","  12,644 ","  4,670 ","  143,750 "
605,"  7,300 ","  125,076 ","  5,445 ","  3,025 ","  140,846 ","  14,085 ","  5,210 ","  160,140 ",,,605,"  7,300 ","  110,981 ","  5,445 ","  3,025 ","  126,751 ","  12,675 ","  4,680 ","  144,100 "
606,"  7,300 ","  125,375 ","  5,454 ","  3,030 ","  141,159 ","  14,116 ","  5,220 ","  160,490 ",,,606,"  7,300 ","  111,280 ","  5,454 ","  3,030 ","  127,064 ","  12,706 ","  4,700 ","  144,470 "
607,"  7,300 ","  125,675 ","  5,463 ","  3,035 ","  141,473 ","  14,147 ","  5,230 ","  160,850 ",,,607,"  7,300 ","  111,580 ","  5,463 ","  3,035 ","  127,378 ","  12,738 ","  4,710 ","  144,820 "
608,"  7,300 ","  125,974 ","  5,472 ","  3,040 ","  141,786 ","  14,179 ","  5,240 ","  161,200 ",,,608,"  7,300 ","  111,879 ","  5,472 ","  3,040 ","  127,691 ","  12,769 ","  4,720 ","  145,180 "
609,"  7,300 ","  126,273 ","  5,481 ","  3,045 ","  142,099 ","  14,210 ","  5,250 ","  161,550 ",,,609,"  7,300 ","  112,178 ","  5,481 ","  3,045 ","  128,004 ","  12,800 ","  4,730 ","  145,530 "
610,"  7,300 ","  126,573 ","  5,490 ","  3,050 ","  142,413 ","  14,241 ","  5,260 ","  161,910 ",,,610,"  7,300 ","  112,478 ","  5,490 ","  3,050 ","  128,318 ","  12,832 ","  4,740 ","  145,890 "
611,"  7,300 ","  126,872 ","  5,499 ","  3,055 ","  142,726 ","  14,273 ","  5,280 ","  162,270 ",,,611,"  7,300 ","  112,777 ","  5,499 ","  3,055 ","  128,631 ","  12,863 ","  4,750 ","  146,240 "
612,"  7,300 ","  127,171 ","  5,508 ","  3,060 ","  143,039 ","  14,304 ","  5,290 ","  162,630 ",,,612,"  7,300 ","  113,076 ","  5,508 ","  3,060 ","  128,944 ","  12,894 ","  4,770 ","  146,600 "
613,"  7,300 ","  127,470 ","  5,517 ","  3,065 ","  143,352 ","  14,335 ","  5,300 ","  162,980 ",,,613,"  7,300 ","  113,375 ","  5,517 ","  3,065 ","  129,257 ","  12,926 ","  4,780 ","  146,960 "
614,"  7,300 ","  127,770 ","  5,526 ","  3,070 ","  143,666 ","  14,367 ","  5,310 ","  163,340 ",,,614,"  7,300 ","  113,675 ","  5,526 ","  3,070 ","  129,571 ","  12,957 ","  4,790 ","  147,310 "
615,"  7,300 ","  128,069 ","  5,535 ","  3,075 ","  143,979 ","  14,398 ","  5,320 ","  163,690 ",,,615,"  7,300 ","  113,974 ","  5,535 ","  3,075 ","  129,884 ","  12,988 ","  4,800 ","  147,670 "
616,"  7,300 ","  128,368 ","  5,544 ","  3,080 ","  144,292 ","  14,429 ","  5,330 ","  164,050 ",,,616,"  7,300 ","  114,273 ","  5,544 ","  3,080 ","  130,197 ","  13,020 ","  4,810 ","  148,020 "
617,"  7,300 ","  128,668 ","  5,553 ","  3,085 ","  144,606 ","  14,461 ","  5,350 ","  164,410 ",,,617,"  7,300 ","  114,573 ","  5,553 ","  3,085 ","  130,511 ","  13,051 ","  4,820 ","  148,380 "
618,"  7,300 ","  128,967 ","  5,562 ","  3,090 ","  144,919 ","  14,492 ","  5,360 ","  164,770 ",,,618,"  7,300 ","  114,872 ","  5,562 ","  3,090 ","  130,824 ","  13,082 ","  4,840 ","  148,740 "
619,"  7,300 ","  129,266 ","  5,571 ","  3,095 ","  145,232 ","  14,523 ","  5,370 ","  165,120 ",,,619,"  7,300 ","  115,171 ","  5,571 ","  3,095 ","  131,137 ","  13,114 ","  4,850 ","  149,100 "
620,"  7,300 ","  129,566 ","  5,580 ","  3,100 ","  145,546 ","  14,555 ","  5,380 ","  165,480 ",,,620,"  7,300 ","  115,471 ","  5,580 ","  3,100 ","  131,451 ","  13,145 ","  4,860 ","  149,450 "
621,"  7,300 ","  129,865 ","  5,589 ","  3,105 ","  145,859 ","  14,586 ","  5,390 ","  165,830 ",,,621,"  7,300 ","  115,770 ","  5,589 ","  3,105 ","  131,764 ","  13,176 ","  4,870 ","  149,810 "
622,"  7,300 ","  130,164 ","  5,598 ","  3,110 ","  146,172 ","  14,617 ","  5,400 ","  166,180 ",,,622,"  7,300 ","  116,069 ","  5,598 ","  3,110 ","  132,077 ","  13,208 ","  4,880 ","  150,160 "
623,"  7,300 ","  130,463 ","  5,607 ","  3,115 ","  146,485 ","  14,649 ","  5,410 ","  166,540 ",,,623,"  7,300 ","  116,368 ","  5,607 ","  3,115 ","  132,390 ","  13,239 ","  4,890 ","  150,510 "
624,"  7,300 ","  130,763 ","  5,616 ","  3,120 ","  146,799 ","  14,680 ","  5,430 ","  166,900 ",,,624,"  7,300 ","  116,668 ","  5,616 ","  3,120 ","  132,704 ","  13,270 ","  4,910 ","  150,880 "
625,"  7,300 ","  131,062 ","  5,625 ","  3,125 ","  147,112 ","  14,711 ","  5,440 ","  167,260 ",,,625,"  7,300 ","  116,967 ","  5,625 ","  3,125 ","  133,017 ","  13,302 ","  4,920 ","  151,230 "
626,"  7,300 ","  131,361 ","  5,634 ","  3,130 ","  147,425 ","  14,743 ","  5,450 ","  167,610 ",,,626,"  7,300 ","  117,266 ","  5,634 ","  3,130 ","  133,330 ","  13,333 ","  4,930 ","  151,590 "
627,"  7,300 ","  131,661 ","  5,643 ","  3,135 ","  147,739 ","  14,774 ","  5,460 ","  167,970 ",,,627,"  7,300 ","  117,566 ","  5,643 ","  3,135 ","  133,644 ","  13,364 ","  4,940 ","  151,940 "
628,"  7,300 ","  131,960 ","  5,652 ","  3,140 ","  148,052 ","  14,805 ","  5,470 ","  168,320 ",,,628,"  7,300 ","  117,865 ","  5,652 ","  3,140 ","  133,957 ","  13,396 ","  4,950 ","  152,300 "
629,"  7,300 ","  132,259 ","  5,661 ","  3,145 ","  148,365 ","  14,837 ","  5,480 ","  168,680 ",,,629,"  7,300 ","  118,164 ","  5,661 ","  3,145 ","  134,270 ","  13,427 ","  4,960 ","  152,650 "
630,"  7,300 ","  132,559 ","  5,670 ","  3,150 ","  148,679 ","  14,868 ","  5,500 ","  169,040 ",,,630,"  7,300 ","  118,464 ","  5,670 ","  3,150 ","  134,584 ","  13,458 ","  4,970 ","  153,010 "
631,"  7,300 ","  132,858 ","  5,679 ","  3,155 ","  148,992 ","  14,899 ","  5,510 ","  169,400 ",,,631,"  7,300 ","  118,763 ","  5,679 ","  3,155 ","  134,897 ","  13,490 ","  4,990 ","  153,370 "
632,"  7,300 ","  133,157 ","  5,688 ","  3,160 ","  149,305 ","  14,931 ","  5,520 ","  169,750 ",,,632,"  7,300 ","  119,062 ","  5,688 ","  3,160 ","  135,210 ","  13,521 ","  5,000 ","  153,730 "
633,"  7,300 ","  133,456 ","  5,697 ","  3,165 ","  149,618 ","  14,962 ","  5,530 ","  170,110 ",,,633,"  7,300 ","  119,361 ","  5,697 ","  3,165 ","  135,523 ","  13,552 ","  5,010 ","  154,080 "
634,"  7,300 ","  133,756 ","  5,706 ","  3,170 ","  149,932 ","  14,993 ","  5,540 ","  170,460 ",,,634,"  7,300 ","  119,661 ","  5,706 ","  3,170 ","  135,837 ","  13,584 ","  5,020 ","  154,440 "
635,"  7,300 ","  134,055 ","  5,715 ","  3,175 ","  150,245 ","  15,025 ","  5,550 ","  170,820 ",,,635,"  7,300 ","  119,960 ","  5,715 ","  3,175 ","  136,150 ","  13,615 ","  5,030 ","  154,790 "
636,"  7,300 ","  134,354 ","  5,724 ","  3,180 ","  150,558 ","  15,056 ","  5,570 ","  171,180 ",,,636,"  7,300 ","  120,259 ","  5,724 ","  3,180 ","  136,463 ","  13,646 ","  5,040 ","  155,140 "
637,"  7,300 ","  134,654 ","  5,733 ","  3,185 ","  150,872 ","  15,087 ","  5,580 ","  171,530 ",,,637,"  7,300 ","  120,559 ","  5,733 ","  3,185 ","  136,777 ","  13,678 ","  5,060 ","  155,510 "
638,"  7,300 ","  134,953 ","  5,742 ","  3,190 ","  151,185 ","  15,119 ","  5,590 ","  171,890 ",,,638,"  7,300 ","  120,858 ","  5,742 ","  3,190 ","  137,090 ","  13,709 ","  5,070 ","  155,860 "
639,"  7,300 ","  135,252 ","  5,751 ","  3,195 ","  151,498 ","  15,150 ","  5,600 ","  172,240 ",,,639,"  7,300 ","  121,157 ","  5,751 ","  3,195 ","  137,403 ","  13,740 ","  5,080 ","  156,220 "
640,"  7,300 ","  135,552 ","  5,760 ","  3,200 ","  151,812 ","  15,181 ","  5,610 ","  172,600 ",,,640,"  7,300 ","  121,457 ","  5,760 ","  3,200 ","  137,717 ","  13,772 ","  5,090 ","  156,570 "
641,"  7,300 ","  135,851 ","  5,769 ","  3,205 ","  152,125 ","  15,213 ","  5,620 ","  172,950 ",,,641,"  7,300 ","  121,756 ","  5,769 ","  3,205 ","  138,030 ","  13,803 ","  5,100 ","  156,930 "
642,"  7,300 ","  136,150 ","  5,778 ","  3,210 ","  152,438 ","  15,244 ","  5,640 ","  173,320 ",,,642,"  7,300 ","  122,055 ","  5,778 ","  3,210 ","  138,343 ","  13,834 ","  5,110 ","  157,280 "
